(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Mobile/Unlit (Supports Lightmap) (300 verts): 
		rcskydome (300 verts)	-1	False	False	False	1	[rcskydome (UnityEngine.Material)] 	
	Mobile/VertexLit (45911 verts): 
		MB_GroundWork-mesh-mesh (45911 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
	Mobile/VertexLit (156297 verts): 
		SR_Env_Dirt_Track_Blank (6) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Green (1) (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_LightGreen_Pose_04 (532 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_CornerTight_01 (3) (151 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (13) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (15) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (9) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Red_Pose_02 (786 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (13) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_LightBlue (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (1) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Small (1) (180 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_01 (1) (1056 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Pose_04 (532 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (20) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_ArrowSign_02 (114 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (10) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_02 (1) (1291 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (26) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Black_Pose_03 (632 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_04 (2) (2300 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_ToolCart (410 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (18) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (3) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Black_Pose_05 (532 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Blue (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Black_Pose_02 (786 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (37) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_04 (6) (2300 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Platform (192 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
